Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Sheffield Utd,12,7,3,2,20,7,+13,24,2.00,W W W D L,"28,026","Oliver McBurnie, Iliman Ndiaye - 5",Wes Foderingham,
2,Norwich City,12,7,3,2,18,10,+8,24,2.00,W W D W D,"27,543",Josh Sargent - 6,Tim Krul,
3,Reading,12,7,1,4,14,16,-2,22,1.83,W L W W D,"12,997",Lucas João - 3,Joe Lumley,
4,QPR,12,6,3,3,17,12,+5,21,1.75,L W D W W,"13,498",Chris Willock - 6,Seny Dieng,
5,Burnley,12,4,7,1,19,12,+7,19,1.58,D D W D D,"19,177",Jay Rodriguez - 5,Arijanet Muric,
6,Swansea City,12,5,3,4,15,15,0,18,1.50,W L W W W,"15,937",Joël Piroe - 4,Andy Fisher,
7,Blackburn,12,6,0,6,13,15,-2,18,1.50,L W L W L,"13,188",Ben Brereton - 5,Thomas Kaminski,
8,Sunderland,12,4,5,3,16,11,+5,17,1.42,L W D D D,"38,238",Ross Stewart - 5,Anthony Patterson,
9,Watford,12,4,5,3,16,13,+3,17,1.42,D L D W L,"19,293",Ismaila Sarr - 4,Daniel Bachmann,
10,Luton Town,12,4,5,3,16,13,+3,17,1.42,L D W W D,"9,698",Carlton Morris - 6,Ethan Horvath,
11,Preston,12,3,7,2,4,4,0,16,1.33,L D L D W,"16,323",Emil Riis Jakobsen - 2,Freddie Woodman,
12,Wigan Athletic,11,4,4,3,12,13,-1,16,1.45,W W L W L,"12,079",Will Keane - 5,Ben Amos,
13,Rotherham Utd,11,3,6,2,13,9,+4,15,1.36,D W D L D,"9,976","Chiedozie Ogbene, Richard Wood - 4",Viktor Johansson,
14,Bristol City,12,4,3,5,20,18,+2,15,1.25,W L L L D,"20,402",Nahki Wells - 6,Daniel Bentley,
15,Cardiff City,12,4,3,5,9,12,-3,15,1.25,L W L D W,"16,441","Mark Harris, Romaine Sawyers... - 2",Ryan Allsop,
16,Millwall,12,4,2,6,13,17,-4,14,1.17,W L W L D,"13,572",Charlie Cresswell - 3,Bartosz Białkowski,
17,Hull City,12,4,2,6,13,24,-11,14,1.17,L L L L W,"16,860",Oscar Estupiñan - 8,Matt Ingram,
18,Middlesbrough,12,3,4,5,14,16,-2,13,1.08,W L D L W,"24,878",Chuba Akpom - 3,Zack Steffen,
19,Birmingham City,12,3,4,5,9,12,-3,13,1.08,W W D D L,"16,536",Scott Hogan - 5,John Ruddy,
20,Stoke City,12,3,4,5,12,16,-4,13,1.08,L W D L D,"20,358",Lewis Baker - 4,Josef Bursik,
21,Blackpool,12,3,3,6,10,16,-6,12,1.00,W L L L D,"15,626",Theo Corbeanu - 3,Daniel Grimshaw,
22,West Brom,12,1,7,4,17,18,-1,10,0.83,D L D L L,"22,325","Jed Wallace, Karlan Grant - 3",David Button,
23,Huddersfield,11,2,2,7,13,19,-6,8,0.73,L L W L D,"18,808",Jordan Rhodes - 3,Lee Nicholls,
24,Coventry City,9,1,4,4,8,13,-5,7,0.78,L D D W D,"19,351","Viktor Gyökeres, Matthew Godden - 3",Ben Wilson,
